JAQKAW010000005.1,NZ_JALGCC010000001.1,67.597,1648,508,16,9274,10908,1043295,1041661,2.52E-141,517
JAQKAW010000005.1,NZ_JALGCC010000001.1,68.837,645,185,8,10273,10909,509763,509127,1.23E-56,236
JAQKAW010000005.1,NZ_JALGCC010000001.1,65.007,703,220,11,10241,10921,427860,428558,1.08E-25,133
JAQKAW010000005.1,NZ_JALGCC010000001.1,68.452,336,100,2,11573,11905,5273174,5272842,1.60E-23,125
JAQKAW010000005.1,NZ_JALGCC010000001.1,71.859,199,52,4,10613,10808,215267,215070,9.46E-14,93.3
JAQKAW010000005.1,NZ_JALGCC010000001.1,92.857,56,4,0,8957,9012,1043615,1043560,4.90E-11,84.2
JAQKAW010000005.1,NZ_JALGCC010000001.1,75,108,27,0,13423,13530,5271210,5271103,8.86E-08,74.3
JAQKAW010000005.1,NZ_JALGCC010000001.1,66.134,313,99,5,10613,10920,4073114,4073424,3.09E-07,71.6
JAQKAW010000005.1,NZ_JALGCC010000001.1,67.76,183,57,2,13016,13197,5271626,5271445,0.007,58.1
JAQKAW010000005.1,NZ_JALGCC010000001.1,72,125,29,4,10247,10368,215630,215509,0.024,56.3
JAQKAW010000005.1,NZ_JADWYI010000003.1,70.588,1173,321,18,704,1862,3254,2092,1.94E-136,501
JAQKAW010000005.1,NZ_CACVBR010000002.1,67.201,1683,506,22,9274,10925,280847,279180,3.51E-133,489
JAQKAW010000005.1,NZ_CP033934.1,66.87,1636,522,11,9275,10900,1089718,1088093,7.72E-129,476
JAQKAW010000005.1,NZ_CP033934.1,73.011,352,91,2,11559,11910,4539521,4539174,2.53E-46,202
JAQKAW010000005.1,NZ_CP033934.1,68.71,310,94,3,10612,10920,1033062,1032755,3.52E-19,112
JAQKAW010000005.1,NZ_CP033934.1,82.895,76,13,0,12836,12911,4538239,4538164,2.08E-09,79.7
JAQKAW010000005.1,NZ_CP033934.1,66.415,265,77,6,10617,10872,2744935,2745196,5.59E-04,61.7
JAQKAW010000005.1,NZ_QWIU01000002.1,66.627,1672,519,15,9274,10918,1295118,1296777,1.15E-126,468
JAQKAW010000005.1,NZ_QWIU01000002.1,71.751,354,100,0,11572,11925,866894,866541,1.60E-42,188
JAQKAW010000005.1,NZ_QWIU01000002.1,64.611,681,226,12,10247,10918,40593,41267,1.83E-16,102
JAQKAW010000005.1,NZ_QWIU01000002.1,68.86,228,68,3,12690,12916,865673,865448,5.97E-10,81.5
JAQKAW010000005.1,NZ_QWIU01000002.1,74.138,116,28,2,10613,10727,3125410,3125296,3.77E-06,68
JAQKAW010000005.1,NZ_QWIU01000002.1,73,100,27,0,10613,10712,379946,380045,0.002,59.9
