prep_type,target_id,cq,dilution,tech_rep
std,EX,13.47063424,0.0001,1
std,EX,13.48282434,0.0001,2
std,EX,18.01701886,0.00001,1
std,EX,17.68819014,0.00001,2
std,EX,21.83837799,0.000001,1
std,EX,21.67674902,0.000001,2
std,EX,24.31664945,0.0000001,1
std,EX,24.17778052,0.0000001,2
std,EX,27.91638749,0.00000001,1
std,EX,27.40883211,0.00000001,2
std,EX,31.22049292,0.000000001,1
std,EX,30.97494445,0.000000001,2
std,pWSK29,10.49247405,0.0001,1
std,pWSK29,10.36697886,0.0001,2
std,pWSK29,14.57458509,0.00001,1
std,pWSK29,14.74640595,0.00001,2
std,pWSK29,18.53386859,0.000001,1
std,pWSK29,18.66301364,0.000001,2
std,pWSK29,22.50759119,0.0000001,1
std,pWSK29,22.14715784,0.0000001,2
std,pWSK29,25.81239703,0.00000001,1
std,pWSK29,25.48394886,0.00000001,2
std,pWSK29,29.05028325,0.000000001,1
std,pWSK29,29.18837284,0.000000001,2
exo,EX,29.68885796,1,1
exo,EX,25.9894112,1,2
non_exo,EX,17.99625753,1,1
non_exo,EX,17.17581681,1,2
exo,pWSK29,12.26456222,1,1
exo,pWSK29,13.08632336,1,2
non_exo,pWSK29,12.0169475,1,1
non_exo,pWSK29,12.02560598,1,2
ntc,EX,NaN,1,1
ntc,EX,NaN,1,2
ntc,EX,NaN,1,1
ntc,pWSK29,NaN,1,2
ntc,pWSK29,35.67888603,1,1
ntc,pWSK29,NaN,1,2
